"CLIENT_ISO_CODE","CITY","ZIPCODE","LONGITUDE","LATITUDE","id_cp"
"ES","Santa Margalida","07450",3.1479,39.7227,1252643
"GB","Horley","RH6 8EE",-0.176,51.1806,1252644
"US","Summerville","29485",-80.1831,32.9756,1252645
"GB","London","sw13 9bp",-0.2357,51.4849,1252646
"SG","Singapore","487049",103.9462,1.3318,1252647
"IT","Piano di Sorrento","80063",14.4173,40.6281,1252648
"IT","Cavezzo","41032",11.0289,44.835,1252649
"US","JAMAICA","11432",-73.7944,40.7119,1252650
"GB","Craigavon","BT66 6SD",-6.3529,54.4807,1252651
"GB","Thirsk","yo7 1lt",-1.3414,54.2316,1252652
"GB","BANCHORY","AB31 4PR",-2.6879,57.1325,1252653
"CA","Newmarket","L3X1M4",-79.4261,44.0353,1252654
"GB","Watford","WD18 7BE",-0.4175,51.6554,1252655
"PL","Kraków","30-611",19.9517,50.0103,1252656
"GB","Iver","SL0 9EH",-0.5114,51.5063,1252657
"US","Dorchester Center","02124",-71.0717,42.2918,1252658
"GB","Dunblane","FK15 0PA",-3.9531,56.1955,1252659
"TH","BANGKOK","10700",100.4833,13.75,1252660
"DE","Düsseldorf","40212",6.7827,51.223,1252661
"GB","WALTHAM CROSS","EN7 6EQ",-0.0804,51.7173,1252662
"PL","Warszawa","02-594",21.0022,52.2087,1252663
"IE","Galway","H91PY7V",-9.0489,53.2719,1252664
"DE","Lohne (Oldenburg)","49393",8.225,52.6589,1252665
"US","Newcastle","98056",-122.1819,47.5073,1252666
"PL","Warszawa","02-699",20.9953,52.1636,1252667
"IT","Rimaggio","50068",11.5478,43.8178,1252668
"FR","Erquy","22430",-2.4651,48.6313,1252669
"CA","Laval","H7N5R5",-73.7085,45.5618,1252670
